clazz,round0,round1,round2,round3,round4,round5,avg.
org.jfree.chart.block.BlockContainer,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
org.jfree.chart.plot.CombinedDomainCategoryPlot,0.0032,0.0033,0.0020,0.0032,0.0020,0.0032,0.0028
org.jfree.chart.text.TextBlock,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
org.jfree.data.general.AbstractDataset,0.0026,0.0027,0.0027,0.0027,0.0026,0.0026,0.0027
org.jfree.chart.util.LineUtils,0.0017,0.0029,0.0017,0.0030,0.0017,0.0042,0.0025
org.jfree.chart.annotations.XYTextAnnotation,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
org.jfree.chart.renderer.category.LineAndShapeRenderer,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
org.jfree.chart.plot.CombinedRangeCategoryPlot,0.0031,0.0018,0.0018,0.0031,0.0018,0.0030,0.0024
org.jfree.chart.plot.CombinedDomainXYPlot,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
org.jfree.data.general.Series,0.0023,0.0023,0.0024,0.0023,0.0024,0.0024,0.0023
org.jfree.chart.renderer.xy.StandardXYItemRenderer,0.0023,0.0024,0.0023,0.0023,0.0023,0.0023,0.0023
org.jfree.chart.labels.ItemLabelPosition,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
org.jfree.chart.axis.DateTickUnit,0.0016,0.0029,0.0016,0.0029,0.0029,0.0016,0.0022
org.jfree.chart.HashUtils,0.0023,0.0022,0.0022,0.0023,0.0022,0.0022,0.0022
org.jfree.data.time.Day,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
org.jfree.data.DefaultKeyedValues,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
org.jfree.chart.axis.TickUnit,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
org.jfree.chart.labels.ItemLabelAnchor,0.0020,0.0020,0.0020,0.0021,0.0021,0.0020,0.0020
org.jfree.chart.block.BlockBorder,0.0019,0.0019,0.0019,0.0019,0.0019,0.0020,0.0019
org.jfree.chart.util.PaintList,0.0015,0.0015,0.0016,0.0027,0.0015,0.0028,0.0019
org.jfree.chart.plot.CombinedRangeXYPlot,0.0011,0.0023,0.0011,0.0023,0.0023,0.0023,0.0019
org.jfree.chart.plot.ThermometerPlot,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,0.0019,0.0019,0.0019,0.0019,0.0019,0.0018,0.0019
org.jfree.chart.axis.DateTickUnitType,0.0006,0.0018,0.0019,0.0018,0.0031,0.0018,0.0018
org.jfree.data.ComparableObjectSeries,0.0018,0.0018,0.0018,0.0019,0.0018,0.0018,0.0018
org.jfree.data.xy.DefaultTableXYDataset,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
org.jfree.chart.block.ColumnArrangement,0.0019,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
org.jfree.chart.plot.FastScatterPlot,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
org.jfree.data.category.DefaultIntervalCategoryDataset,0.0018,0.0018,0.0017,0.0017,0.0017,0.0017,0.0018
org.jfree.data.xy.IntervalXYDelegate,0.0013,0.0026,0.0013,0.0013,0.0013,0.0026,0.0018
org.jfree.chart.renderer.xy.XYAreaRenderer,0.0017,0.0017,0.0017,0.0017,0.0017,0.0018,0.0017
org.jfree.data.gantt.TaskSeriesCollection,0.0017,0.0017,0.0017,0.0018,0.0017,0.0017,0.0017
org.jfree.chart.block.LabelBlock,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
org.jfree.chart.renderer.xy.XYBarRenderer,0.0017,0.0017,0.0017,0.0017,0.0018,0.0017,0.0017
org.jfree.chart.util.ShapeList,0.0013,0.0025,0.0013,0.0012,0.0025,0.0013,0.0017
org.jfree.chart.plot.CategoryMarker,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
org.jfree.data.time.Year,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
org.jfree.chart.renderer.category.GradientBarPainter,0.0017,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
org.jfree.data.time.TimeSeriesCollection,0.0016,0.0016,0.0016,0.0015,0.0016,0.0016,0.0016
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,0.0014,0.0015,0.0015,0.0014,0.0015,0.0015,0.0015
org.jfree.data.xy.XYDataItem,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0014
org.jfree.chart.renderer.category.StatisticalBarRenderer,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
org.jfree.chart.text.TextLine,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.0014
org.jfree.chart.title.PaintScaleLegend,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
org.jfree.chart.text.TextFragment,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
org.jfree.data.time.Week,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.data.time.Hour,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.data.time.RegularTimePeriod,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.chart.util.StrokeList,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.chart.axis.CategoryLabelPosition,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.chart.ui.RectangleEdge,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
org.jfree.chart.util.Args,0.0013,0.0013,0.0013,0.0012,0.0013,0.0012,0.0013
org.jfree.chart.block.GridArrangement,0.0012,0.0013,0.0012,0.0013,0.0013,0.0013,0.0013
org.jfree.data.time.Minute,0.0013,0.0013,0.0012,0.0013,0.0012,0.0012,0.0013
org.jfree.data.statistics.Statistics,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
org.jfree.chart.axis.AxisLocation,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0012
org.jfree.chart.annotations.TextAnnotation,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
org.jfree.chart.block.RectangleConstraint,0.0012,0.0012,0.0013,0.0012,0.0012,0.0012,0.0012
org.jfree.chart.plot.dial.StandardDialScale,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
org.jfree.data.time.TimePeriodValues,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
org.jfree.chart.plot.PlotOrientation,0.0011,0.0011,0.0012,0.0011,0.0011,0.0011,0.0011
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
org.jfree.chart.renderer.xy.XYStepAreaRenderer,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
org.jfree.chart.renderer.xy.XYAreaRenderer2,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
org.jfree.chart.annotations.XYPointerAnnotation,0.0011,0.0011,0.0011,0.0010,0.0011,0.0011,0.0011
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,0.0002,0.0015,0.0002,0.0015,0.0015,0.0015,0.0011
org.jfree.chart.axis.PeriodAxis,0.0010,0.0011,0.0011,0.0011,0.0011,0.0010,0.0011
org.jfree.chart.axis.Tick,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
org.jfree.chart.axis.AxisLabelLocation,0.0011,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.chart.annotations.CategoryPointerAnnotation,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.data.time.Quarter,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.chart.axis.CategoryLabelPositions,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.chart.LegendItemCollection,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
org.jfree.chart.annotations.XYBoxAnnotation,0.0010,0.0010,0.0010,0.0010,0.0010,0.0009,0.0010
org.jfree.chart.annotations.XYTitleAnnotation,0.0010,0.0009,0.0009,0.0010,0.0009,0.0009,0.0009
org.jfree.chart.annotations.CategoryLineAnnotation,0.0010,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.data.statistics.HistogramDataset,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.chart.plot.DatasetRenderingOrder,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.chart.labels.AbstractXYItemLabelGenerator,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.data.xy.DefaultIntervalXYDataset,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.chart.annotations.AbstractAnnotation,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
org.jfree.data.KeyedObjects,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008,0.0009
org.jfree.chart.plot.MultiplePiePlot,0.0008,0.0009,0.0008,0.0009,0.0008,0.0008,0.0008
org.jfree.chart.plot.dial.DialPlot,0.0008,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.data.general.DatasetGroup,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.data.time.Second,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.chart.annotations.XYLineAnnotation,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.data.statistics.Regression,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
org.jfree.chart.text.AttributedStringUtils,0.0006,0.0006,0.0006,0.0018,0.0006,0.0006,0.0008
org.jfree.chart.text.TextBlockAnchor,0.0008,0.0007,0.0008,0.0008,0.0007,0.0008,0.0008
org.jfree.chart.util.RelativeDateFormat,0.0008,0.0007,0.0007,0.0008,0.0007,0.0008,0.0008
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0.0008,0.0007,0.0007,0.0008,0.0007,0.0008,0.0008
org.jfree.chart.axis.CategoryAnchor,0.0008,0.0007,0.0007,0.0008,0.0008,0.0007,0.0008
org.jfree.chart.plot.Crosshair,0.0008,0.0007,0.0007,0.0008,0.0008,0.0008,0.0008
org.jfree.chart.util.BooleanList,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.data.time.DateRange,0.0001,0.0013,0.0001,0.0001,0.0013,0.0013,0.0007
org.jfree.chart.plot.CompassPlot,0.0007,0.0007,0.0007,0.0007,0.0008,0.0007,0.0007
org.jfree.chart.plot.dial.DialValueIndicator,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.chart.labels.AbstractPieItemLabelGenerator,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.data.time.Millisecond,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.chart.util.ObjectUtils,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.data.gantt.Task,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.chart.renderer.xy.CandlestickRenderer,0.0007,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007
org.jfree.chart.plot.dial.ArcDialFrame,0.0007,0.0007,0.0006,0.0007,0.0007,0.0007,0.0007
org.jfree.chart.annotations.XYDrawableAnnotation,0.0007,0.0007,0.0006,0.0007,0.0006,0.0006,0.0007
org.jfree.chart.annotations.AbstractXYAnnotation,0.0006,0.0006,0.0007,0.0007,0.0006,0.0007,0.0007
org.jfree.chart.plot.RingPlot,0.0006,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.ui.RectangleAnchor,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.data.time.SimpleTimePeriod,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.renderer.category.LevelRenderer,0.0007,0.0006,0.0006,0.0007,0.0006,0.0006,0.0006
org.jfree.chart.renderer.DefaultPolarItemRenderer,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.axis.LogarithmicAxis,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.data.xy.DefaultXYDataset,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.axis.AxisCollection,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.annotations.CategoryTextAnnotation,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.ui.VerticalAlignment,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.renderer.xy.XYStepRenderer,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.plot.flow.FlowPlot,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.ui.HorizontalAlignment,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.plot.IntervalMarker,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.ui.LengthAdjustmentType,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.axis.SubCategoryAxis,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.axis.NumberTickUnit,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.data.DataUtils,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.data.statistics.BoxAndWhiskerCalculator,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.axis.PeriodAxisLabelInfo,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.renderer.category.WaterfallBarRenderer,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.plot.PieLabelDistributor,0.0006,0.0006,0.0005,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.renderer.category.GanttRenderer,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
org.jfree.chart.entity.ChartEntity,0.0006,0.0006,0.0005,0.0006,0.0005,0.0005,0.0006
org.jfree.chart.renderer.category.LayeredBarRenderer,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005,0.0006
org.jfree.chart.ui.StandardGradientPaintTransformer,0.0005,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.needle.MeterNeedle,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.general.DefaultPieDataset,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.RangeType,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.PaintMap,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.axis.CategoryLabelWidthType,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.ComparableObjectItem,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.renderer.xy.XYDifferenceRenderer,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.KeyToGroupMap,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.gantt.TaskSeries,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.statistics.BoxAndWhiskerItem,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.data.time.TimeSeriesDataItem,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.StrokeMap,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.renderer.xy.XYBlockRenderer,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
org.jfree.chart.axis.TickType,0.0005,0.0005,0.0004,0.0005,0.0004,0.0005,0.0005
org.jfree.data.xy.DefaultXYZDataset,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0005
org.jfree.data.statistics.SimpleHistogramBin,0.0004,0.0005,0.0004,0.0005,0.0004,0.0004,0.0005
org.jfree.chart.annotations.XYPolygonAnnotation,0.0004,0.0004,0.0004,0.0004,0.0005,0.0004,0.0004
org.jfree.chart.plot.ValueMarker,0.0004,0.0004,0.0005,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.title.LegendItemBlockContainer,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.axis.CategoryTick,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.plot.PlotRenderingInfo,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.text.TextBox,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.renderer.xy.XYShapeRenderer,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.ui.GradientPaintTransformType,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.axis.TickUnits,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.data.gantt.XYTaskDataset,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.plot.dial.DialTextAnnotation,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.ChartRenderingInfo,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.data.general.DefaultHeatMapDataset,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.plot.dial.AbstractDialLayer,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.axis.AxisState,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.renderer.category.AreaRenderer,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.data.gantt.SlidingGanttCategoryDataset,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.plot.dial.StandardDialRange,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.data.category.CategoryToPieDataset,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.renderer.GrayPaintScale,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.jfree.chart.plot.dial.DialCap,0.0003,0.0003,0.0004,0.0003,0.0004,0.0004,0.0004
org.jfree.data.general.AbstractSeriesDataset,0.0004,0.0003,0.0003,0.0004,0.0004,0.0003,0.0004
org.jfree.data.category.SlidingCategoryDataset,0.0003,0.0004,0.0003,0.0004,0.0003,0.0003,0.0003
org.jfree.data.time.ohlc.OHLCSeriesCollection,0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003
org.jfree.data.xy.MatrixSeries,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.data.xy.AbstractXYDataset,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.axis.CyclicNumberAxis,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.plot.PieLabelRecord,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.plot.SeriesRenderingOrder,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.labels.StandardCategoryToolTipGenerator,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.plot.dial.StandardDialFrame,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.title.CompositeTitle,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.plot.PieLabelLinkStyle,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.data.flow.FlowKey,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.data.time.TimeTableXYDataset,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.data.xy.XYIntervalSeriesCollection,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.jfree.chart.renderer.xy.XYDotRenderer,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
