clazz,round0,round1,round2,round3,round4,round5,avg.
org.apache.commons.codec.net.QCodec,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.apache.commons.codec.digest.Crypt,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
org.apache.commons.codec.binary.BaseNCodec$AbstractBuilder,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
org.apache.commons.codec.net.BCodec,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0002
org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.net.Utils,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.language.ColognePhonetic$CologneInputBuffer,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.binary.CharSequenceUtils,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.language.bm.Languages$2,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
org.apache.commons.codec.language.Caverphone2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
org.apache.commons.codec.language.Caverphone1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
org.apache.commons.codec.language.AbstractCaverphone,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
org.apache.commons.codec.Resources,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
org.apache.commons.codec.binary.Base32$Builder,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
org.apache.commons.codec.language.bm.NameType,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
org.apache.commons.codec.digest.MessageDigestAlgorithms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
org.apache.commons.codec.language.bm.RuleType,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
