project,seed1,seed2,T-test,U-test,ratio(avg. fastest/avg. seed)
assertj-assertions-generator,1202,31415,0.003,0.002,
assertj-assertions-generator,1202,99999,0.038,0.026,
assertj-assertions-generator,1202,fastest,0.060,0.180,1.0873654027648845
assertj-assertions-generator,1999,2002,0.000,0.002,
assertj-assertions-generator,1999,2024,0.973,1.000,
assertj-assertions-generator,1999,31415,0.916,1.000,
assertj-assertions-generator,1999,99999,0.000,0.004,
assertj-assertions-generator,1999,fastest,0.135,0.093,0.9357713079314754
assertj-assertions-generator,2002,2024,0.000,0.002,
assertj-assertions-generator,2002,31415,0.000,0.002,
assertj-assertions-generator,2002,99999,0.108,0.009,
assertj-assertions-generator,2002,fastest,0.000,0.002,1.3318822424217254
assertj-assertions-generator,2024,31415,0.853,0.589,
assertj-assertions-generator,2024,99999,0.000,0.002,
assertj-assertions-generator,2024,fastest,0.063,0.093,0.9372973128952468
assertj-assertions-generator,31415,99999,0.000,0.002,
assertj-assertions-generator,31415,fastest,0.005,0.009,0.931615716317043
assertj-assertions-generator,99999,fastest,0.000,0.002,1.2406933394186945
commons-cli,0,42,0.000,0.002,
commons-cli,0,123,0.000,0.002,
commons-cli,0,216,0.000,0.002,
commons-cli,0,1202,0.000,0.002,
commons-cli,0,1999,0.000,0.002,
commons-cli,0,2002,0.000,0.002,
commons-cli,0,2024,0.000,0.002,
commons-cli,0,31415,0.000,0.002,
commons-cli,0,99999,0.000,0.002,
commons-cli,0,fastest,0.000,0.002,0.7468364196348145
commons-cli,42,123,0.000,0.002,
commons-cli,42,216,0.000,0.002,
commons-cli,42,1202,0.086,0.132,
commons-cli,42,1999,0.000,0.002,
commons-cli,42,2002,0.000,0.002,
commons-cli,42,2024,0.000,0.002,
commons-cli,42,31415,0.000,0.002,
commons-cli,42,99999,0.000,0.002,
commons-cli,42,fastest,0.016,0.041,1.066970617368841
commons-cli,123,216,0.000,0.002,
commons-cli,123,1202,0.089,0.132,
commons-cli,123,1999,0.297,0.394,
commons-cli,123,2002,0.000,0.002,
commons-cli,123,2024,0.932,0.937,
commons-cli,123,31415,0.199,0.180,
commons-cli,123,99999,0.000,0.002,
commons-cli,123,fastest,0.060,0.041,0.9516395646577738
commons-cli,216,1202,0.000,0.002,
commons-cli,216,1999,0.000,0.002,
commons-cli,216,2002,0.000,0.002,
commons-cli,216,2024,0.000,0.002,
commons-cli,216,31415,0.000,0.002,
commons-cli,216,99999,0.000,0.002,
commons-cli,216,fastest,0.000,0.002,1.2887584784653812
commons-cli,1202,1999,0.310,0.394,
commons-cli,1202,2002,0.000,0.002,
commons-cli,1202,2024,0.093,0.132,
commons-cli,1202,31415,0.026,0.015,
commons-cli,1202,99999,0.000,0.002,
commons-cli,1202,fastest,0.839,1.000,1.0074262663076328
commons-cli,1999,2002,0.000,0.002,
commons-cli,1999,2024,0.306,0.485,
commons-cli,1999,31415,0.052,0.041,
commons-cli,1999,99999,0.000,0.002,
commons-cli,1999,fastest,0.321,0.310,0.9726330386456521
commons-cli,2002,2024,0.000,0.004,
commons-cli,2002,31415,0.001,0.002,
commons-cli,2002,99999,0.530,0.485,
commons-cli,2002,fastest,0.000,0.002,0.86834036996839
commons-cli,2024,31415,0.291,0.310,
commons-cli,2024,99999,0.000,0.002,
commons-cli,2024,fastest,0.069,0.093,0.9501357888428242
commons-cli,31415,99999,0.000,0.002,
commons-cli,31415,fastest,0.012,0.009,0.9313575067731338
commons-cli,99999,fastest,0.000,0.002,0.8613425149778228
commons-csv,0,42,0.001,0.002,
commons-csv,0,123,0.000,0.002,
commons-csv,0,216,0.358,0.394,
commons-csv,0,1202,0.000,0.002,
commons-csv,0,1999,0.000,0.002,
commons-csv,0,2002,0.000,0.002,
commons-csv,0,2024,0.000,0.002,
commons-csv,0,31415,0.001,0.002,
commons-csv,0,99999,0.000,0.002,
commons-csv,0,fastest,0.027,0.009,1.0289872560652682
commons-csv,42,123,0.253,0.589,
commons-csv,42,216,0.001,0.002,
commons-csv,42,1202,0.126,0.310,
commons-csv,42,1999,0.129,0.240,
commons-csv,42,2002,0.565,0.589,
commons-csv,42,2024,0.298,0.394,
commons-csv,42,31415,0.034,0.026,
commons-csv,42,99999,0.447,0.589,
commons-csv,42,fastest,0.003,0.002,0.8383416645375924
commons-csv,123,216,0.000,0.002,
commons-csv,123,1202,0.351,0.394,
commons-csv,123,1999,0.366,0.485,
commons-csv,123,2002,0.019,0.065,
commons-csv,123,2024,0.976,0.699,
commons-csv,123,31415,0.000,0.002,
commons-csv,123,99999,0.016,0.041,
commons-csv,123,fastest,0.000,0.002,0.7966280021601916
commons-csv,216,1202,0.000,0.002,
commons-csv,216,1999,0.000,0.002,
commons-csv,216,2002,0.000,0.002,
commons-csv,216,2024,0.000,0.002,
commons-csv,216,31415,0.001,0.002,
commons-csv,216,99999,0.001,0.002,
commons-csv,216,fastest,0.046,0.026,1.0250098220675425
commons-csv,1202,1999,0.997,1.000,
commons-csv,1202,2002,0.007,0.009,
commons-csv,1202,2024,0.460,0.589,
commons-csv,1202,31415,0.000,0.002,
commons-csv,1202,99999,0.006,0.009,
commons-csv,1202,fastest,0.000,0.002,0.7811686510612418
commons-csv,1999,2002,0.008,0.015,
commons-csv,1999,2024,0.467,0.394,
commons-csv,1999,31415,0.000,0.002,
commons-csv,1999,99999,0.007,0.015,
commons-csv,1999,fastest,0.000,0.002,0.7811023969317645
commons-csv,2002,2024,0.042,0.065,
commons-csv,2002,31415,0.025,0.093,
commons-csv,2002,99999,0.783,0.589,
commons-csv,2002,fastest,0.001,0.002,0.86304859032092
commons-csv,2024,31415,0.000,0.002,
commons-csv,2024,99999,0.033,0.065,
commons-csv,2024,fastest,0.000,0.002,0.7972629232171646
commons-csv,31415,99999,0.065,0.132,
commons-csv,31415,fastest,0.015,0.041,0.9395079582979543
commons-csv,99999,fastest,0.002,0.002,0.8727973340401113
