clazz,method,methodDesc,indexes,mutator,0,42,123,216,1202,1999,2002,2024,31415,99999,default,fastest
delight.nashornsandbox.internal.JsSanitizer,secureJs,(Ljava/lang/String;)Ljava/lang/String;,34,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4875,3483,4281,5149,4954,4668,4252,4894,4174,4677,4063,4046
delight.nashornsandbox.internal.JsSanitizer,secureJs,(Ljava/lang/String;)Ljava/lang/String;,45,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,2471,2055,2291,2500,2494,2302,2288,2472,2158,2228,2361,2230
delight.nashornsandbox.internal.JsSanitizer,secureJs,(Ljava/lang/String;)Ljava/lang/String;,5,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,17150,12752,15450,18630,16642,15871,17252,15784,14538,14477,15476,14381
delight.nashornsandbox.internal.JsSanitizer,secureJsImpl,(Ljava/lang/String;)Ljava/lang/String;,17,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,22831,16626,20686,26522,23232,20646,23405,21616,19015,18931,19944,19280
delight.nashornsandbox.internal.JsSanitizer,secureJsImpl,(Ljava/lang/String;)Ljava/lang/String;,21,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,9167,6118,7275,8858,8413,7682,7806,7500,6770,6756,7434,6958
delight.nashornsandbox.internal.JsSanitizer,secureJsImpl,(Ljava/lang/String;)Ljava/lang/String;,33,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,17310,11664,16490,17230,17059,14905,15997,16677,13976,13964,15154,15140
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,124,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,14,10,15,25,26,18,14,12,12,12,14,12
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,142,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,1,6,4,1,0,1,1,1,0,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,156,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2,0,2,10,6,1,1,1,1,1,0,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,164,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1,1,1,7,5,4,1,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,174,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1,0,3,6,3,2,1,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,174,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,1,3,8,2,2,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,191,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,0,2,4,6,1,2,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,20,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1,1,1,6,9,4,2,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,20,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,1,9,8,3,1,1,1,1,1,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,27,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1,0,2,8,4,2,0,0,0,1,1,0
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,49,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,2,4,5,2,1,1,1,1,2,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,58,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,1,8,4,2,1,1,1,1,1,0
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,65,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,2,7,4,4,0,0,1,1,1,0
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,68,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,0,8,4,8,4,1,1,1,1,1,2
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,87,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2,1,2,7,9,5,1,2,2,1,2,1
delight.nashornsandbox.internal.RemoveComments,perform,(Ljava/lang/String;)Ljava/lang/String;,90,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2,2,4,14,18,4,7,4,2,2,6,1
