project,clazz,method,methodDesc,indexes,mutator,test,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.PreparedStatementTest.testPreparedStatement(org.apache.empire.db.PreparedStatementTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.mysql.DBMSHandlerMySQLTest.appendSQLTextValue(org.apache.empire.dbms.mysql.DBMSHandlerMySQLTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.sqlite.DBMSHandlerSQLiteTest.test(org.apache.empire.dbms.sqlite.DBMSHandlerSQLiteTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.hsql.DBMSHandlerHSqlTest.test(org.apache.empire.dbms.hsql.DBMSHandlerHSqlTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testHsqldb(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,getTables,()Ljava/util/List;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,getTables,()Ljava/util/List;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
empire-db,org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[198],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
