class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
com.github.jknack.handlebars.io.URLTemplateLoader,242,41,169,231,194,144,94,91,96,78,73,63,77,66,2.78
com.github.jknack.handlebars.helper.DefI18nSource,168,29,181,188,73,78,67,47,73,54,50,49,61,63,2.75
com.github.jknack.handlebars.internal.Locales,227,32,184,285,133,125,86,61,82,74,61,61,137,139,2.74
com.github.jknack.handlebars.helper.I18nHelper$1,130,22,172,145,73,55,45,39,45,48,38,41,45,52,2.73
com.github.jknack.handlebars.internal.HbsParser$ElseStmtContext,272,39,280,253,250,156,79,68,124,97,81,80,159,103,2.72
com.github.jknack.handlebars.internal.path.ParentPath,694,127,764,718,413,338,271,233,254,221,231,220,254,206,2.67
com.github.jknack.handlebars.internal.HbsParser$ElseBlockContext,504,143,633,563,310,267,147,133,200,175,143,159,164,151,2.65
com.github.jknack.handlebars.internal.HbsParser$PexprContext,613,147,651,566,526,456,212,167,194,218,214,220,203,184,2.56
com.github.jknack.handlebars.helper.IfHelper,1283,276,1354,1214,603,631,468,394,611,469,547,488,437,378,2.53
com.github.jknack.handlebars.io.URLTemplateSource,875,197,970,830,774,557,359,281,309,310,265,258,332,318,2.49
com.github.jknack.handlebars.internal.HbsParser$BoolParamContext,510,127,526,555,761,653,158,145,178,200,162,152,176,147,2.49
com.github.jknack.handlebars.internal.path.IndexedPath,280,46,355,347,257,182,104,87,119,102,75,86,122,184,2.47
com.github.jknack.handlebars.EscapingStrategy,628,142,839,642,530,502,207,187,266,263,189,189,239,245,2.43
com.github.jknack.handlebars.internal.DefParam,677,174,788,778,758,804,225,199,216,228,240,214,252,246,2.41
com.github.jknack.handlebars.internal.WhiteSpaceControl,939,160,792,1020,777,548,363,315,410,384,359,363,377,413,2.4
com.github.jknack.handlebars.internal.HbsParser$PartialBlockContext,469,93,422,697,283,246,201,141,184,262,157,157,214,188,2.39
com.github.jknack.handlebars.internal.HbsParser$NumberParamContext,852,215,1084,974,895,697,344,247,319,294,295,281,322,307,2.36
com.github.jknack.handlebars.internal.path.DataPath,606,124,618,657,464,289,273,197,246,370,214,213,276,298,2.27
com.github.jknack.handlebars.helper.LookupHelper,271,56,338,395,223,173,109,86,108,154,84,99,119,124,2.26
com.github.jknack.handlebars.helper.DefI18nSource$UTF8Control,140,26,169,181,127,86,51,39,64,49,42,46,138,147,2.26
com.github.jknack.handlebars.context.FieldValueResolver,230,57,296,255,110,126,97,76,111,108,86,78,94,121,2.25
com.github.jknack.handlebars.internal.HbsParserBaseVisitor,327,67,355,376,406,316,120,115,146,154,119,111,137,146,2.21
com.github.jknack.handlebars.internal.Text,4221,1462,3690,4089,6674,5692,1629,1652,1783,1670,1419,1437,1484,1502,2.16
com.github.jknack.handlebars.internal.HbsParser$DynamicPathContext,425,90,557,482,533,408,171,139,182,232,147,152,215,174,2.16
com.github.jknack.handlebars.internal.HbsParser$ParamContext,1590,479,1417,1576,992,1032,548,524,664,508,512,508,2438,2122,2.13
com.github.jknack.handlebars.internal.HbsParser$CharParamContext,640,183,894,878,471,466,271,215,291,247,265,265,260,256,2.12
com.github.jknack.handlebars.helper.StringHelpers,480,103,620,658,324,236,212,186,242,296,187,227,214,208,2.1
com.github.jknack.handlebars.cache.NullTemplateCache,3648,1394,4206,4288,1421,1651,1563,1714,2198,1481,1511,1544,1580,1591,2.08
com.github.jknack.handlebars.internal.HbsParser$HashContext,758,254,899,924,731,583,325,253,313,324,306,321,299,324,2.06
com.github.jknack.handlebars.internal.StrParam,2133,633,1550,1424,1770,1263,1081,897,951,943,929,958,1001,975,2.06
com.github.jknack.handlebars.helper.WithHelper,989,274,1147,1017,1163,923,403,320,385,362,345,361,1086,983,1.98
com.github.jknack.handlebars.helper.StringHelpers$11,75,7,84,82,97,81,55,45,45,45,40,50,98,79,1.97
com.github.jknack.handlebars.internal.VarParam,918,257,1117,1105,698,737,369,337,404,392,311,346,997,913,1.93
com.github.jknack.handlebars.context.JavaBeanValueResolver,4361,1016,3927,3965,3942,3280,1975,1860,2033,1767,1956,2000,3571,3468,1.92
com.github.jknack.handlebars.internal.RefParam,1759,573,2135,1713,1963,1688,778,667,836,902,741,735,812,780,1.92
com.github.jknack.handlebars.io.AbstractTemplateLoader,8595,4535,9453,8946,5913,4677,4452,3554,3717,4133,3747,4108,3980,3871,1.89
com.github.jknack.handlebars.internal.FastStringWriter,8338,4569,7451,8848,7555,6519,3650,3796,4167,3795,3609,3553,3499,3524,1.87
com.github.jknack.handlebars.Context$PartialCtx,1081,329,1396,1368,902,798,496,432,553,707,491,569,528,475,1.85
com.github.jknack.handlebars.internal.HbsParser$SubParamExprContext,1661,1012,2402,2016,1562,1645,704,649,799,866,649,658,681,762,1.83
com.github.jknack.handlebars.internal.HbsParser$RefParamContext,3091,1260,3744,3329,2898,2518,1531,1316,1369,1522,1403,1359,1528,1568,1.82
com.github.jknack.handlebars.Options$NativeBuffer,1477,482,1521,1800,999,935,774,630,859,718,752,779,826,774,1.81
com.github.jknack.handlebars.helper.StringHelpers$20,712,165,821,987,414,447,415,331,460,405,343,337,624,414,1.8
com.github.jknack.handlebars.HandlebarsError,1067,328,1087,1302,1127,1017,636,461,618,508,466,527,537,508,1.79
com.github.jknack.handlebars.internal.HbsParser$TvarContext,1759,526,2372,2102,2070,1652,784,611,726,701,725,745,2190,2119,1.79
com.github.jknack.handlebars.io.ClassPathTemplateLoader,7236,3490,8350,7827,7798,7167,3840,3187,3443,3505,3188,3222,3151,3177,1.79
com.github.jknack.handlebars.Context$BlockParam,771,133,671,617,741,609,495,327,448,431,463,598,791,842,1.75
com.github.jknack.handlebars.internal.HbsParser$BodyContext,7516,4268,7706,7757,4247,4484,3468,3768,3141,3655,3292,3330,6076,6400,1.75
com.github.jknack.handlebars.internal.path.ThisPath,1330,386,1460,1739,1453,1128,636,511,585,543,592,589,1948,2035,1.73
com.github.jknack.handlebars.helper.UnlessHelper,852,212,1083,974,705,709,503,375,491,509,470,427,522,538,1.73
com.github.jknack.handlebars.ValueResolver,7847,3937,8024,8112,7737,5593,4279,4004,4162,3784,3897,3869,3748,3814,1.72
com.github.jknack.handlebars.internal.Lambdas,507,92,649,803,536,517,374,269,321,281,272,280,339,310,1.71
com.github.jknack.handlebars.internal.HbsParser$DelimitersContext,1391,326,1576,1950,1006,1088,834,691,835,927,658,684,1333,1159,1.67
com.github.jknack.handlebars.Formatter,3378,1558,3830,3900,4479,4343,1800,1664,1897,1675,1568,1581,1588,1565,1.67
com.github.jknack.handlebars.context.MemberValueResolver,7480,3366,6596,7683,7560,6500,4271,3487,4004,4638,3942,3883,4092,4055,1.64
com.github.jknack.handlebars.io.StringTemplateSource,7693,3848,8723,8900,4114,4109,4701,4098,5066,4122,4506,4125,4605,4408,1.64
com.github.jknack.handlebars.internal.path.ResolveThisPath,1679,671,1965,2035,1732,1303,914,736,894,923,966,891,973,963,1.64
com.github.jknack.handlebars.io.CompositeTemplateLoader,207,32,210,275,111,88,237,141,147,188,229,225,410,164,1.61
com.github.jknack.handlebars.internal.HbsParser$PartialContext,1943,745,2517,2491,2509,2430,1165,879,1149,1093,986,1039,1125,978,1.59
com.github.jknack.handlebars.internal.HbsParser$VarContext,11258,6428,10098,11828,11486,9203,6116,6306,7078,6317,6087,6071,5954,5988,1.58
com.github.jknack.handlebars.internal.HbsParser$StringParamContext,2108,1287,2128,2173,2375,2424,1162,966,1092,1271,1144,1045,1060,1224,1.58
com.github.jknack.handlebars.internal.PathExpressionList,990,329,1245,1118,1310,1098,543,393,519,620,441,485,979,1025,1.57
com.github.jknack.handlebars.cache.HighConcurrencyTemplateCache,670,160,675,730,489,416,429,386,453,436,508,403,703,669,1.56
com.github.jknack.handlebars.helper.StringHelpers$18,144,22,161,178,111,84,168,97,97,103,153,188,151,148,1.55
com.github.jknack.handlebars.internal.HbsParser$TemplateContext,11175,6823,11911,12308,9461,9596,6680,5705,5439,6063,5466,5415,8898,9384,1.53
com.github.jknack.handlebars.internal.path.PropertyPath,6129,2850,6460,6150,5270,4859,4022,3569,4291,3440,3601,3591,3607,3597,1.52
com.github.jknack.handlebars.internal.HbsParser$SexprContext,11908,7042,12807,13639,9936,10784,7626,6949,7114,6574,6555,6738,6528,6541,1.52
com.github.jknack.handlebars.Handlebars$Utils,5969,2874,6823,5903,5425,4504,2970,2810,3624,3330,3017,3101,5749,7277,1.52
com.github.jknack.handlebars.context.MethodValueResolver,3849,1885,3876,3942,3145,3800,2229,1911,2542,2265,2504,2524,2287,2293,1.51
com.github.jknack.handlebars.Context$Builder,6062,3471,6839,7275,7245,7245,3545,3609,3516,3182,3323,3314,3126,3164,1.51
com.github.jknack.handlebars.internal.Partial$1,1164,245,1273,1118,1427,1203,675,624,619,674,946,802,2150,2330,1.49
com.github.jknack.handlebars.internal.Partial,7588,3551,7769,7251,8779,8961,4740,3806,4654,4793,4522,4630,4738,4776,1.48
com.github.jknack.handlebars.internal.HbsErrorStrategy,1997,429,2290,1893,1279,1554,1403,1324,1498,1538,2210,1831,1668,2095,1.47
com.github.jknack.handlebars.internal.HbsParser$StatementContext,12422,10272,12007,12922,8799,8953,8099,7770,9201,8087,7517,7708,6970,6580,1.46
com.github.jknack.handlebars.cache.ConcurrentMapTemplateCache,91,15,115,103,129,68,84,57,56,60,100,91,146,137,1.45
com.github.jknack.handlebars.internal.ForwardingTemplate,22081,14051,20802,21370,23139,18022,14225,14357,16311,13311,12853,12935,13358,13509,1.44
com.github.jknack.handlebars.Template$1,77,14,89,89,45,45,53,56,77,69,74,107,155,93,1.44
com.github.jknack.handlebars.internal.TemplateBuilder$1,6844,3847,8826,8024,6305,6493,4134,4010,5080,4018,3984,3955,4054,4070,1.44
com.github.jknack.handlebars.context.MapValueResolver,8709,4813,9262,9473,8960,6764,5641,5592,5111,5883,5902,5899,4876,5103,1.44
com.github.jknack.handlebars.internal.HbsParser$StaticPathContext,2618,1028,3394,2832,5029,4879,1470,1112,1508,1287,1274,1329,3674,3850,1.43
com.github.jknack.handlebars.internal.HbsParserFactory,25940,17681,27432,27227,24932,23616,19296,16210,15438,17726,15404,15434,15250,15326,1.41
com.github.jknack.handlebars.helper.EachHelper,5038,2299,6016,6235,5827,4767,3358,2787,3285,3736,3335,3272,3109,3035,1.41
com.github.jknack.handlebars.helper.StringHelpers$19,767,167,716,1098,730,512,644,471,635,679,608,680,962,812,1.4
com.github.jknack.handlebars.internal.HbsParserFactory$1,18247,12642,20619,21245,17726,14467,13789,11433,11509,12103,11114,10839,11046,11246,1.39
com.github.jknack.handlebars.internal.HbsParser$BlockContext,7894,5146,8649,9371,7671,7903,5467,4420,5278,5392,4933,4932,4936,4966,1.38
com.github.jknack.handlebars.PathCompiler,22422,15464,22484,24183,21744,19955,15542,14668,16325,14419,14110,14089,13934,14043,1.37
com.github.jknack.handlebars.helper.MethodHelper,1300,360,1723,1785,772,760,1434,1093,1338,1424,1339,1503,800,778,1.35
com.github.jknack.handlebars.EscapingStrategy$Hbs,5100,2658,5979,6084,6843,5654,3737,3187,3761,3296,3004,3016,3533,3607,1.34
com.github.jknack.handlebars.internal.Files,2307,1351,2267,2362,2258,1999,1704,1516,1732,1783,1476,1486,1609,1695,1.33
com.github.jknack.handlebars.internal.HbsParser$EscapeContext,170,32,173,197,220,183,232,110,121,158,222,182,226,160,1.32
com.github.jknack.handlebars.internal.HbsParser$TextContext,9650,5952,10810,11383,8852,7367,7539,7073,7629,6809,6060,6011,6584,6630,1.32
com.github.jknack.handlebars.io.ServletContextTemplateLoader,134,28,150,181,161,106,122,124,150,149,136,126,104,113,1.31
com.github.jknack.handlebars.helper.BlockHelper,838,184,948,1183,809,575,707,585,704,758,839,1013,948,1173,1.31
com.github.jknack.handlebars.internal.BaseTemplate$1,667,144,874,960,555,539,526,477,481,508,1000,1059,1057,1040,1.27
com.github.jknack.handlebars.internal.BaseTemplate,26522,18832,27622,29544,25171,23171,19676,18386,19579,19876,19164,18996,19007,18953,1.27
com.github.jknack.handlebars.Context$CompositeValueResolver,11241,6769,12915,11901,10463,9310,8881,7657,10054,8345,8286,8236,8334,8271,1.26
com.github.jknack.handlebars.internal.TemplateList,21754,17434,26083,26117,21041,16786,18033,15904,15439,16552,15168,15149,15206,15312,1.25
com.github.jknack.handlebars.internal.FormatterChain,353,64,484,662,495,279,391,232,296,302,479,558,493,619,1.25
com.github.jknack.handlebars.helper.I18nHelper$2,132,33,199,175,147,103,141,84,100,111,129,172,182,175,1.22
com.github.jknack.handlebars.io.FileTemplateLoader,269,58,311,344,189,188,256,234,223,313,525,334,812,325,1.22
com.github.jknack.handlebars.internal.TemplateBuilder,103146,86897,93912,94987,100979,87042,88226,86494,87116,82796,80384,80359,83390,83008,1.19
com.github.jknack.handlebars.internal.Throwing,1854,1251,2625,2033,2577,2086,1576,1251,1544,1412,1371,1377,1392,1448,1.17
com.github.jknack.handlebars.internal.Variable,33314,25583,34630,35938,34149,30081,27100,25381,28047,26751,24971,24833,28844,28756,1.17
com.github.jknack.handlebars.internal.Block,14084,9010,13165,15256,20533,14073,10607,9770,11274,10915,11158,10895,14462,14765,1.16
com.github.jknack.handlebars.internal.HbsParser$AmpvarContext,1474,335,1725,1747,1244,1125,1737,1875,1742,1574,2388,2889,1486,1572,1.16
com.github.jknack.handlebars.internal.HbsParser$UnlessContext,2808,1110,3436,3156,2985,2541,2402,1951,2707,2435,2738,2881,2655,2994,1.16
com.github.jknack.handlebars.Handlebars,54232,44384,53256,55070,58339,51991,49178,40673,41818,46619,42243,42747,46884,46946,1.15
com.github.jknack.handlebars.internal.HelperResolver,42768,33611,41301,44733,53412,41481,36598,32738,36045,36417,32254,32543,39959,40919,1.13
com.github.jknack.handlebars.helper.DefaultHelperRegistry,23423,15009,22844,24355,21379,21639,20308,18276,23142,22899,21897,20415,20073,21091,1.13
com.github.jknack.handlebars.internal.HbsLexer,303034,270512,277790,285347,292489,262349,291585,248686,294342,290912,259597,262413,250589,257590,1.12
com.github.jknack.handlebars.Context,41903,30916,40187,40851,40318,38367,41563,36509,36611,41672,38236,37334,36599,36785,1.1
com.github.jknack.handlebars.internal.HbsParser$CommentContext,1375,308,1451,1332,2066,1341,1620,1243,1641,1590,1882,2153,2617,2096,1.1
com.github.jknack.handlebars.Options,15494,9610,16384,17523,12667,13230,15386,13401,15075,14844,17166,17144,15233,15823,1.07
com.github.jknack.handlebars.internal.MustacheSpec,12686,7651,12886,13832,11504,11175,12867,11036,12409,12732,12684,12152,14633,16037,1.05
com.github.jknack.handlebars.internal.HbsParser,195765,172582,209323,189525,204826,181764,198375,167636,209232,203730,182792,178462,182508,186894,1.04
com.github.jknack.handlebars.helper.PrecompileHelper,3125,2081,3764,3915,3387,3500,2625,2437,2662,2622,4968,5132,2522,2775,1.03
com.github.jknack.handlebars.internal.MustacheStringUtils,10338,6176,10713,12406,10392,8972,13950,10184,12669,13273,10613,11056,10242,11001,0.99
com.github.jknack.handlebars.Context$PathExpressionChain,12388,8702,13396,14248,12687,11366,14331,11514,12619,12425,16363,13555,13626,16064,0.97
com.github.jknack.handlebars.internal.HbsErrorReporter,1821,617,2290,2044,2122,1771,2769,1755,2117,2608,3752,3435,2975,2950,0.92
com.github.jknack.handlebars.helper.PrecompileHelper$JsWrapper,4875,3412,5879,5722,8045,7028,6266,5751,6320,6130,4116,4177,9029,10474,0.84
