class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.apache.commons.codec.net.URLCodec,848,434,891,963,718,1179,406,439,383,367,561,583,390,367,1.67
org.apache.commons.codec.net.RFC1522Codec,494,313,545,576,320,328,331,344,328,250,189,167,331,347,1.64
org.apache.commons.codec.language.bm.Languages$LanguageSet,2019,1175,1835,1669,1229,1243,1235,1228,1212,1323,1182,1143,1398,1157,1.57
org.apache.commons.codec.net.Utils,300,115,297,335,358,396,157,166,151,148,245,258,162,145,1.55
org.apache.commons.codec.language.Metaphone,5331,2385,5216,4660,5091,4508,3638,3320,3648,3648,2269,2342,4151,3688,1.54
org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,1415,763,1847,1443,1154,1024,930,813,850,815,1063,1059,795,695,1.49
org.apache.commons.codec.digest.PureJavaCrc32,407,199,398,395,376,361,244,240,232,242,274,347,240,241,1.47
org.apache.commons.codec.language.ColognePhonetic,1442,945,1442,1761,2043,2020,1066,940,856,735,851,682,893,736,1.44
org.apache.commons.codec.binary.BinaryCodec,2139,1031,1591,1888,1822,1973,1516,1370,1832,1347,1455,1572,1541,1427,1.4
org.apache.commons.codec.language.DaitchMokotoffSoundex,1081,614,1050,1018,1205,1036,644,627,624,570,632,647,1257,1054,1.39
org.apache.commons.codec.language.DaitchMokotoffSoundex$Branch,449,283,542,500,592,535,265,288,267,266,278,337,287,259,1.37
org.apache.commons.codec.digest.Crypt,410,211,445,482,491,560,269,255,253,266,241,226,385,543,1.3
org.apache.commons.codec.binary.BaseNCodecInputStream,3151,1918,2830,3301,3366,3405,2145,1985,2323,2172,3021,3072,1960,1991,1.28
org.apache.commons.codec.binary.BaseNCodec$AbstractBuilder,243,144,273,276,221,181,155,183,160,184,226,253,180,168,1.27
org.apache.commons.codec.language.bm.Languages,1476,1147,1471,1547,1164,1187,1180,1257,1071,1127,1129,1043,1153,1068,1.25
org.apache.commons.codec.binary.Base16,3318,2783,3759,4037,3385,3544,2339,2401,2386,2519,2426,2367,2397,2321,1.22
org.apache.commons.codec.language.bm.Languages$1,1350,1156,1213,1290,1379,1562,1288,1115,1088,1083,1135,1069,1183,1100,1.13
org.apache.commons.codec.digest.Md5Crypt,3143,3140,3640,4166,4494,3792,2352,2344,2297,2353,2478,2408,2433,2395,1.13
org.apache.commons.codec.language.DaitchMokotoffSoundex$Rule,496,308,558,517,837,727,342,372,325,315,350,430,614,783,1.13
org.apache.commons.codec.language.bm.Lang,4771,5510,4671,4642,4027,3837,3879,4595,3913,3805,3960,3894,4454,4260,1.13
org.apache.commons.codec.binary.StringUtils,2407,2300,2676,2369,2372,2569,1829,1918,2055,1993,2125,2147,2214,1820,1.12
org.apache.commons.codec.language.bm.Rule$2,1244,1112,1261,1196,1659,1498,1078,989,978,998,1075,1005,1083,1004,1.11
org.apache.commons.codec.digest.HmacAlgorithms,1716,1266,1850,1715,1646,1813,1545,1593,1488,1458,1496,1600,1515,1435,1.1
org.apache.commons.codec.language.bm.Languages$SomeLanguages,11354,8492,11990,10883,11884,12140,9085,9722,9730,8997,10225,9947,11926,12350,1.09
org.apache.commons.codec.digest.Sha2Crypt,8186,6806,9359,9151,6985,7264,7062,7239,7287,7787,7391,7646,7312,7295,1.09
org.apache.commons.codec.binary.BaseNCodecOutputStream,2081,1109,2103,2199,2196,2931,1799,1742,1936,1910,2510,2547,1777,1825,1.07
org.apache.commons.codec.language.bm.Lang$LangRule,2801,2494,3002,3050,2699,2982,2598,2642,2457,2606,2419,2263,2656,2352,1.07
org.apache.commons.codec.binary.Base64,225319,222191,218061,202221,212674,211444,211768,210984,209162,215525,212031,209976,212567,209941,1.06
org.apache.commons.codec.language.MatchRatingApproachEncoder,10164,5361,11522,10651,8540,9307,9866,9547,12059,12614,10814,11458,9942,9294,1.05
org.apache.commons.codec.language.DoubleMetaphone,16088,13425,22388,21667,25099,23705,11778,13018,13227,13223,15201,15164,12718,12845,1.05
org.apache.commons.codec.digest.UnixCrypt,4614,3916,5366,7362,6390,8631,3453,3435,4704,4435,5321,6236,2588,2741,1.05
org.apache.commons.codec.binary.BaseNCodec,200043,195300,191011,186945,192020,193445,190361,194235,193829,193263,189777,189096,190877,191530,1.04
org.apache.commons.codec.digest.Blake3$Output,3905,3964,3533,3984,4558,4343,3450,4069,3767,3324,3894,3711,3642,3577,1.03
org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication,4916,5014,5364,5601,5057,5246,4748,4671,4546,4620,4732,4482,4954,4473,1.01
org.apache.commons.codec.language.bm.Rule,45974,45412,45200,52221,47724,45095,42569,44315,43665,42752,44574,46647,45697,45851,1.01
org.apache.commons.codec.language.bm.PhoneticEngine,14980,13084,15807,15256,16285,16258,13906,14793,14925,14282,15867,15331,15318,14046,1.0
org.apache.commons.codec.digest.Blake3,22721,20528,22126,20984,24367,23588,21678,21729,23267,23123,23960,24289,22929,23386,1.0
org.apache.commons.codec.language.bm.Rule$Phoneme,12024,11190,14697,14557,13066,13680,10834,12162,11260,10621,11875,12700,12341,11392,0.99
org.apache.commons.codec.digest.DigestUtils,21055,20218,22600,20802,20962,20913,21686,21328,21570,21215,20857,20774,20760,22476,0.99
org.apache.commons.codec.language.SoundexUtils,1630,1328,2092,1532,2135,2022,1264,1459,1521,1578,2565,1917,1578,1510,0.98
org.apache.commons.codec.binary.Base32,12258,10471,14930,16792,11912,10898,11188,12115,13016,12921,14817,14249,12109,11912,0.97
org.apache.commons.codec.digest.XXHash32,38872,40398,42075,39144,38278,38386,40417,40471,40168,40326,39031,39115,40134,41172,0.97
org.apache.commons.codec.digest.Blake3$EngineState,4854,4641,5683,5518,5007,4920,4672,4772,4748,5068,4912,4855,5401,5379,0.97
org.apache.commons.codec.language.bm.PhoneticEngine$PhonemeBuilder,8994,9216,8750,8923,10142,10438,8717,10061,9424,8709,8961,8689,9595,9092,0.97
org.apache.commons.codec.digest.Blake3$ChunkState,5198,7196,5683,6179,5605,5536,4821,4740,6037,5686,4672,4306,5360,5232,0.97
org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32x86,22554,24420,23131,23967,22731,22520,23969,23939,23608,23372,23060,24070,23029,23627,0.96
org.apache.commons.codec.language.bm.Rule$PhonemeList,2067,2090,2445,2302,2830,2898,2134,1933,1913,1930,2047,1856,2110,2001,0.96
org.apache.commons.codec.digest.MurmurHash3,28293,27792,34701,31114,30256,32245,28534,30147,30306,29744,28369,27553,28107,28640,0.95
org.apache.commons.codec.binary.Hex,31167,29309,32590,36702,33483,33224,32690,32263,32492,32126,32856,32156,32529,33303,0.95
org.apache.commons.codec.digest.HmacUtils,3148,2513,3672,3288,3171,3095,3607,3452,3523,3539,3580,3807,3754,3229,0.94
org.apache.commons.codec.language.bm.BeiderMorseEncoder,1182,1423,1295,1286,1436,1406,1266,1382,1262,1248,1095,1029,1367,1238,0.93
