class,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
com.google.common.jimfs.WatchServiceConfiguration$PollingConfig,137,9,122,125,51,53,16,19,16,15,17,19,17,19,6.67
com.google.common.jimfs.PosixAttributeProvider$View,95,5,100,104,12,12,16,17,16,15,15,15,16,16,6.54
com.google.common.jimfs.PathNormalization,133,33,36,140,21,24,19,20,21,17,23,19,19,17,5.84
com.google.common.jimfs.UserLookupService$JimfsUserPrincipal,168,19,145,147,44,46,21,28,22,25,23,25,22,27,5.76
com.google.common.jimfs.JimfsSecureDirectoryStream$1,91,2,81,81,71,71,28,27,26,28,27,27,60,64,5.64
com.google.common.jimfs.DosAttributeProvider$View,88,5,92,96,16,17,14,14,14,15,15,15,57,55,5.37
com.google.common.jimfs.GlobToRegex$5,149,15,142,141,50,47,32,40,22,26,23,33,18,19,5.09
com.google.common.jimfs.UserLookupService$JimfsGroupPrincipal,98,9,98,93,21,22,17,22,17,16,18,23,16,19,5.01
com.google.common.jimfs.FileFactory$SymbolicLinkSupplier,118,14,140,134,47,37,30,21,16,15,23,31,17,17,4.88
com.google.common.jimfs.UnixAttributeProvider,1284,199,662,591,267,324,208,228,221,296,220,203,248,382,4.77
com.google.common.jimfs.PathMatchers$RegexPathMatcher,140,21,142,148,30,35,29,30,28,27,26,29,25,23,4.53
com.google.common.jimfs.AttributeService$SimpleFileAttribute,738,128,336,338,180,173,142,182,138,140,146,171,153,280,4.25
com.google.common.jimfs.GlobToRegex$4,178,33,184,192,67,72,33,43,32,34,34,43,38,36,3.98
com.google.common.jimfs.DosAttributeProvider,306,54,88,115,80,74,68,105,65,95,66,83,77,94,3.9
com.google.common.jimfs.GlobToRegex$6,160,35,161,155,81,91,32,50,32,32,35,38,36,45,3.49
com.google.common.jimfs.UserDefinedAttributeProvider,92,17,106,100,31,31,32,26,23,27,23,31,19,17,3.4
com.google.common.jimfs.FileFactory$RegularFileSupplier,229,40,222,220,222,221,52,62,43,58,47,51,60,97,3.29
com.google.common.jimfs.AclAttributeProvider$View,86,3,87,84,82,80,85,62,72,56,63,62,108,82,3.27
com.google.common.jimfs.BasicAttributeProvider$View,212,38,223,221,182,192,64,52,52,48,47,64,52,43,3.27
com.google.common.jimfs.JimfsOutputStream,359,90,111,269,205,236,77,97,77,115,86,105,100,118,3.25
com.google.common.jimfs.PathURLConnection,206,21,201,208,187,186,55,52,56,55,67,70,62,62,3.22
com.google.common.jimfs.GlobToRegex$1,196,43,200,180,179,175,48,60,42,56,42,57,46,42,3.18
com.google.common.jimfs.GlobToRegex$3,242,48,229,225,198,182,66,75,57,67,58,75,58,55,3.11
com.google.common.jimfs.UnixPathType,37,11,19,10,12,11,10,12,9,20,9,11,13,21,3.1
com.google.common.jimfs.GlobToRegex,938,231,525,488,436,343,241,326,229,298,244,289,279,346,3.06
com.google.common.jimfs.AttributeProvider,172,60,106,167,52,73,51,49,76,56,47,46,44,45,2.96
com.google.common.jimfs.Name,79,75,135,75,22,22,25,24,24,25,25,24,23,22,2.79
com.google.common.jimfs.PathMatchers,237,60,230,219,109,105,81,101,76,80,91,89,97,101,2.45
com.google.common.jimfs.SymbolicLink,173,50,192,195,97,87,123,80,56,52,69,82,49,50,2.35
com.google.common.jimfs.UserDefinedAttributeProvider$View,94,6,107,102,67,75,120,78,89,78,86,89,82,80,2.22
com.google.common.jimfs.Jimfs,361,173,429,408,197,198,140,123,154,139,150,135,131,129,2.2
com.google.common.jimfs.JimfsSecureDirectoryStream$DirectoryIterator,318,91,325,324,190,235,162,131,122,127,123,159,117,120,2.15
com.google.common.jimfs.DosAttributeProvider$Attributes,96,11,101,115,84,87,67,60,60,61,90,89,65,61,1.86
com.google.common.jimfs.BasicAttributeProvider$Attributes,505,146,547,497,354,312,217,284,207,290,251,250,285,329,1.85
com.google.common.jimfs.JimfsSecureDirectoryStream,342,155,426,392,246,215,183,153,145,142,147,181,328,397,1.68
com.google.common.jimfs.SystemJimfsFileSystemProvider,435,232,528,471,249,246,324,228,269,226,202,200,302,247,1.65
com.google.common.jimfs.UserLookupService,6,2,109,6,7,7,4,3,3,3,3,4,3,3,1.6
com.google.common.jimfs.OwnerAttributeProvider,1307,769,1126,1182,915,907,735,834,765,988,688,702,922,924,1.52
com.google.common.jimfs.Configuration,2,2,2,2,2,3,1,1,1,1,1,1,2,1,1.51
com.google.common.jimfs.JimfsInputStream,1087,516,910,785,844,845,729,706,697,594,755,737,724,732,1.51
com.google.common.jimfs.JimfsFileStore,614,371,772,669,418,359,366,357,527,396,294,312,527,367,1.5
com.google.common.jimfs.Configuration$Builder,12,9,12,12,6,4,10,10,9,12,8,9,10,6,1.47
com.google.common.jimfs.Name$1,612,378,591,631,438,445,377,389,375,387,378,383,426,409,1.46
com.google.common.jimfs.DirectoryEntry,1143,1132,1262,1197,694,687,686,765,716,1110,766,758,700,707,1.4
com.google.common.jimfs.FileFactory,950,733,1115,1133,846,799,591,549,648,561,597,606,643,545,1.4
com.google.common.jimfs.StandardAttributeProviders,126,121,285,141,83,89,77,79,78,80,84,78,96,100,1.34
com.google.common.jimfs.FileTree,1019,763,1239,996,716,700,916,844,826,680,691,662,827,798,1.28
com.google.common.jimfs.InternalCharMatcher,56,58,59,52,42,43,41,36,36,44,40,41,43,51,1.27
com.google.common.jimfs.JimfsFileSystemProvider,1930,1435,2202,2193,1783,1836,1425,1696,1314,1350,1203,1211,1464,1608,1.26
com.google.common.jimfs.AclAttributeProvider,67,32,152,77,74,64,68,47,46,43,58,56,59,41,1.22
com.google.common.jimfs.WindowsPathType,139,129,125,149,114,127,76,124,85,143,104,123,97,156,1.21
com.google.common.jimfs.BasicAttributeProvider,1944,1509,1933,1868,1546,1598,1594,1515,1491,1573,1523,1519,1581,1814,1.21
com.google.common.jimfs.JimfsFileSystem,495,423,765,598,434,478,311,371,374,368,357,370,423,439,1.19
com.google.common.jimfs.PathType,65,39,83,154,85,51,73,61,58,46,40,35,72,51,1.16
com.google.common.jimfs.AttributeService,1738,1413,2002,1917,1503,1516,1436,1569,1318,1580,1359,1603,1517,1627,1.12
com.google.common.jimfs.FileSystemState,681,693,656,660,643,643,649,643,425,493,677,661,659,705,1.1
com.google.common.jimfs.PosixAttributeProvider,833,406,1049,976,774,731,817,867,677,921,799,704,889,891,1.09
com.google.common.jimfs.PathService,403,335,454,456,328,311,408,358,389,536,290,317,394,403,1.08
com.google.common.jimfs.Options,3436,3022,3619,3581,3200,3246,3035,3219,2945,3118,2941,2964,3559,3665,1.07
com.google.common.jimfs.JimfsPath$1,2393,2216,2416,2419,2270,2282,2213,2223,2215,2226,2209,2210,2238,2237,1.06
com.google.common.jimfs.File,8601,8061,8584,8213,8153,8457,8085,7835,8033,8001,7894,7715,8292,8062,1.06
com.google.common.jimfs.RegularFile,9038,8781,8894,8694,8249,8860,8565,8808,8648,8438,8805,8328,8541,8726,1.05
com.google.common.jimfs.JimfsFileChannel,5750,5550,5702,5703,5821,5489,5424,5486,5271,4995,5421,5396,5573,5599,1.05
com.google.common.jimfs.Util,1135,931,1191,1093,1112,1127,1080,1157,911,1159,1111,1117,1064,1192,1.04
com.google.common.jimfs.AbstractWatchService$Event,2275,2090,2338,2325,2294,2252,2134,2146,2123,2164,2169,2183,2131,2147,1.04
com.google.common.jimfs.JimfsPath,10298,9999,10153,10028,9830,9780,9814,9903,10000,9966,9882,10169,9940,9997,1.03
com.google.common.jimfs.HeapDisk,3880,3810,4120,4130,3697,3715,3935,3750,3461,3274,3693,3718,3965,4083,1.03
com.google.common.jimfs.PollingWatchService$1,4437,4331,4448,4448,4428,4425,4332,4332,4334,4333,4339,4338,4330,4334,1.02
com.google.common.jimfs.FileSystemView,18307,18334,18093,18156,17547,17362,18099,17942,17834,18109,18042,18069,17838,17622,1.02
com.google.common.jimfs.AbstractWatchService,10136,9963,10208,10251,10177,10132,9967,9965,9975,9977,9969,9966,9976,9976,1.01
com.google.common.jimfs.PollingWatchService$Snapshot,11198,11065,11245,11237,11176,11213,11058,11062,11055,11060,11061,11059,11052,11052,1.01
com.google.common.jimfs.Directory$1,8219,8118,8329,8346,8318,8321,8202,8152,8168,8174,8158,8170,8156,8166,1.0
com.google.common.jimfs.JimfsAsynchronousFileChannel,325,294,451,333,412,439,308,329,349,348,273,251,304,332,0.98
com.google.common.jimfs.Directory,3795,3816,4147,4042,3797,4070,4326,3949,4244,4292,3749,3815,4172,4085,0.94
