clazz,method,methodDesc,indexes,mutator,test,default,sgl_grp,def_ln-freq_def,def_def_shuf,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testSQlitedb(org.apache.empire.db.IntegerTest),SURVIVED,KILLED,SURVIVED,FLAKY,EMPTY,EMPTY,EMPTY,SURVIVED,KILLED,SURVIVED,FLAKY,FLAKY,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.PreparedStatementTest.testPreparedStatement(org.apache.empire.db.PreparedStatementTest),SURVIVED,KILLED,SURVIVED,FLAKY,EMPTY,EMPTY,EMPTY,SURVIVED,KILLED,SURVIVED,FLAKY,FLAKY,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.mysql.DBMSHandlerMySQLTest.appendSQLTextValue(org.apache.empire.dbms.mysql.DBMSHandlerMySQLTest),SURVIVED,KILLED,SURVIVED,FLAKY,EMPTY,EMPTY,EMPTY,SURVIVED,KILLED,SURVIVED,FLAKY,FLAKY,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.sqlite.DBMSHandlerSQLiteTest.test(org.apache.empire.dbms.sqlite.DBMSHandlerSQLiteTest),SURVIVED,KILLED,SURVIVED,KILLED,EMPTY,EMPTY,EMPTY,SURVIVED,KILLED,SURVIVED,FLAKY,FLAKY,SURVIVED,FLAKY
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.dbms.hsql.DBMSHandlerHSqlTest.test(org.apache.empire.dbms.hsql.DBMSHandlerHSqlTest),FLAKY,KILLED,SURVIVED,SURVIVED,EMPTY,EMPTY,EMPTY,KILLED,KILLED,SURVIVED,FLAKY,FLAKY,FLAKY,KILLED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),FLAKY,KILLED,SURVIVED,SURVIVED,EMPTY,EMPTY,EMPTY,KILLED,KILLED,SURVIVED,FLAKY,FLAKY,KILLED,KILLED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testHsqldb(org.apache.empire.db.IntegerTest),FLAKY,KILLED,SURVIVED,SURVIVED,EMPTY,EMPTY,EMPTY,KILLED,KILLED,SURVIVED,FLAKY,FLAKY,KILLED,KILLED
org.apache.empire.db.DBDatabase,findByIdentifier,(Ljava/lang/String;)Lorg/apache/empire/db/DBDatabase;,[11],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),FLAKY,KILLED,SURVIVED,FLAKY,EMPTY,EMPTY,EMPTY,KILLED,KILLED,SURVIVED,FLAKY,FLAKY,KILLED,KILLED
org.apache.empire.db.DBDatabase,getTables,()Ljava/util/List;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,getTables,()Ljava/util/List;,[6],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[198],org.pitest.mutationtest.engine.gregor.mutators.MathMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),FLAKY,SURVIVED,SURVIVED,SURVIVED,FLAKY,FLAKY,FLAKY,KILLED,KILLED,KILLED,KILLED,KILLED,FLAKY,FLAKY
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[63],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,FLAKY,SURVIVED,KILLED,EMPTY,EMPTY,EMPTY,SURVIVED,SURVIVED,EMPTY,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[147],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,KILLED,SURVIVED,KILLED,KILLED,KILLED,FLAKY,FLAKY,FLAKY,KILLED,KILLED,FLAKY,KILLED
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[163],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.SerializeTest.testSerializationWithSerializableRecord(org.apache.empire.db.SerializeTest),FLAKY,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,FLAKY,KILLED,SURVIVED,KILLED,KILLED,FLAKY,KILLED
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[163],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testSQlitedb(org.apache.empire.db.IntegerTest),SURVIVED,FLAKY,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,FLAKY,FLAKY,KILLED,KILLED,FLAKY
org.apache.empire.db.DBDatabase,register,(Ljava/lang/String;)V,[104],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,KILLED,EMPTY,FLAKY,SURVIVED,SURVIVED,SURVIVED,SURVIVED,EMPTY,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[59],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[59],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[64],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBTable,<init>,(Ljava/lang/String;Lorg/apache/empire/db/DBDatabase;Ljava/lang/String;)V,[64],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBTable,getName,()Ljava/lang/String;,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,SURVIVED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBTable,getName,()Ljava/lang/String;,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),KILLED,SURVIVED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.commons.DateUtils,formatDayOfWeek,(Ljava/util/Date;Ljava/util/Locale;Z)Ljava/lang/String;,[29],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.commons.DateUtilsTest.testFormatDayOfWeek(org.apache.empire.commons.DateUtilsTest),KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED
org.apache.empire.commons.DateUtils,getDate,(III)Ljava/util/Date;,[32],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.commons.DateUtilsTest.testGetDate(org.apache.empire.commons.DateUtilsTest),KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.commons.DateUtils,getDate,(III)Ljava/util/Date;,[38],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.commons.DateUtilsTest.testGetDate(org.apache.empire.commons.DateUtilsTest),KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBDDLGenerator,appendColumnDesc,(Lorg/apache/empire/db/DBTableColumn;ZLorg/apache/empire/db/DBSQLBuilder;)V,[23],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBDDLGenerator,appendColumnDesc,(Lorg/apache/empire/db/DBTableColumn;ZLorg/apache/empire/db/DBSQLBuilder;)V,[32],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBDDLGenerator,appendColumnDesc,(Lorg/apache/empire/db/DBTableColumn;ZLorg/apache/empire/db/DBSQLBuilder;)V,[58],org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBSQLScript,addStmt,(Lorg/apache/empire/db/DBSQLBuilder;)V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.db.DBSQLScript,addStmt,(Lorg/apache/empire/db/DBSQLBuilder;)V,[6],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testDerby(org.apache.empire.db.IntegerTest),SURVIVED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
org.apache.empire.dbms.h2.H2DDLGenerator,<init>,(Lorg/apache/empire/dbms/h2/DBMSHandlerH2;)V,[9],org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,SURVIVED,SURVIVED
org.apache.empire.db.DBSQLScript$SQLStmt,getCmd,()Ljava/lang/String;,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),KILLED,SURVIVED,KILLED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,KILLED,KILLED
org.apache.empire.db.DBSQLScript$SQLStmt,getParams,()[Ljava/lang/Object;,[5],org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,org.apache.empire.db.IntegerTest.testH2(org.apache.empire.db.IntegerTest),SURVIVED,FLAKY,SURVIVED,SURVIVED,SURVIVED,SURVIVED,KILLED,KILLED,KILLED,SURVIVED,SURVIVED,SURVIVED,SURVIVED,SURVIVED
