project,seed1,seed2,T-test,U-test
commons-codec,def_def_shuf,clz_clz-cvg_def,0.697,0.818
commons-codec,def_def_shuf,clz_ln-cvg_def,0.837,0.589
commons-codec,def_def_shuf,n-tst_clz-cvg_def,0.000,0.002
commons-codec,def_def_shuf,n-tst_ln-cvg_def,0.000,0.002
commons-codec,def_def_shuf,n-tst_clz-sim_def,0.000,0.002
commons-codec,def_def_shuf,n-tst_clz-diff_def,0.000,0.002
commons-codec,def_def_shuf,n-tst_clz-ext_def,0.000,0.002
commons-codec,def_def_shuf,n-tst_ln-ext_def,0.000,0.002
commons-codec,def_def_shuf,01-tst_clz-cvg_def,0.000,0.002
commons-codec,def_def_shuf,01-tst_ln-cvg_def,0.000,0.002
commons-codec,clz_clz-cvg_def,clz_ln-cvg_def,0.891,0.937
commons-codec,clz_clz-cvg_def,n-tst_clz-cvg_def,0.000,0.002
commons-codec,clz_clz-cvg_def,n-tst_ln-cvg_def,0.000,0.002
commons-codec,clz_clz-cvg_def,n-tst_clz-sim_def,0.000,0.002
commons-codec,clz_clz-cvg_def,n-tst_clz-diff_def,0.000,0.002
commons-codec,clz_clz-cvg_def,n-tst_clz-ext_def,0.000,0.002
commons-codec,clz_clz-cvg_def,n-tst_ln-ext_def,0.000,0.002
commons-codec,clz_clz-cvg_def,01-tst_clz-cvg_def,0.000,0.002
commons-codec,clz_clz-cvg_def,01-tst_ln-cvg_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_clz-cvg_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_ln-cvg_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_clz-sim_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_clz-diff_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_clz-ext_def,0.000,0.002
commons-codec,clz_ln-cvg_def,n-tst_ln-ext_def,0.000,0.002
commons-codec,clz_ln-cvg_def,01-tst_clz-cvg_def,0.000,0.002
commons-codec,clz_ln-cvg_def,01-tst_ln-cvg_def,0.000,0.002
commons-codec,n-tst_clz-cvg_def,n-tst_ln-cvg_def,0.117,0.093
commons-codec,n-tst_clz-cvg_def,n-tst_clz-sim_def,0.016,0.093
commons-codec,n-tst_clz-cvg_def,n-tst_clz-diff_def,0.021,0.065
commons-codec,n-tst_clz-cvg_def,n-tst_clz-ext_def,0.031,0.026
commons-codec,n-tst_clz-cvg_def,n-tst_ln-ext_def,0.036,0.065
commons-codec,n-tst_clz-cvg_def,01-tst_clz-cvg_def,0.021,0.041
commons-codec,n-tst_clz-cvg_def,01-tst_ln-cvg_def,0.034,0.180
commons-codec,n-tst_ln-cvg_def,n-tst_clz-sim_def,0.675,0.937
commons-codec,n-tst_ln-cvg_def,n-tst_clz-diff_def,0.638,0.699
commons-codec,n-tst_ln-cvg_def,n-tst_clz-ext_def,0.546,0.818
commons-codec,n-tst_ln-cvg_def,n-tst_ln-ext_def,0.658,0.589
commons-codec,n-tst_ln-cvg_def,01-tst_clz-cvg_def,0.632,0.937
commons-codec,n-tst_ln-cvg_def,01-tst_ln-cvg_def,0.883,0.937
commons-codec,n-tst_clz-sim_def,n-tst_clz-diff_def,0.901,1.000
commons-codec,n-tst_clz-sim_def,n-tst_clz-ext_def,0.721,0.699
commons-codec,n-tst_clz-sim_def,n-tst_ln-ext_def,0.901,0.937
commons-codec,n-tst_clz-sim_def,01-tst_clz-cvg_def,0.891,0.699
commons-codec,n-tst_clz-sim_def,01-tst_ln-cvg_def,0.232,0.310
commons-codec,n-tst_clz-diff_def,n-tst_clz-ext_def,0.808,0.937
commons-codec,n-tst_clz-diff_def,n-tst_ln-ext_def,0.984,0.937
commons-codec,n-tst_clz-diff_def,01-tst_clz-cvg_def,0.991,1.000
commons-codec,n-tst_clz-diff_def,01-tst_ln-cvg_def,0.290,0.589
commons-codec,n-tst_clz-ext_def,n-tst_ln-ext_def,0.841,1.000
commons-codec,n-tst_clz-ext_def,01-tst_clz-cvg_def,0.815,0.937
commons-codec,n-tst_clz-ext_def,01-tst_ln-cvg_def,0.309,0.394
commons-codec,n-tst_ln-ext_def,01-tst_clz-cvg_def,0.991,0.937
commons-codec,n-tst_ln-ext_def,01-tst_ln-cvg_def,0.401,0.699
commons-codec,01-tst_clz-cvg_def,01-tst_ln-cvg_def,0.286,0.310
riptide,default,sgl_grp,0.000,0.005
riptide,default,shuffled,0.373,0.818
riptide,default,def_ln-freq_def,0.004,0.065
riptide,default,def_def_shuf,0.001,0.004
riptide,default,clz_clz-cvg_def,0.000,0.002
riptide,default,clz_ln-cvg_def,0.000,0.002
riptide,default,n-tst_clz-cvg_def,0.000,0.002
riptide,default,n-tst_ln-cvg_def,0.000,0.002
riptide,default,n-tst_clz-sim_def,0.000,0.002
riptide,default,n-tst_clz-diff_def,0.000,0.005
riptide,default,n-tst_clz-ext_def,0.000,0.002
riptide,default,n-tst_ln-ext_def,0.000,0.002
riptide,default,01-tst_clz-cvg_def,0.000,0.002
riptide,default,01-tst_ln-cvg_def,0.000,0.002
riptide,sgl_grp,shuffled,0.188,0.065
riptide,sgl_grp,def_ln-freq_def,0.000,0.005
riptide,sgl_grp,def_def_shuf,0.000,0.005
riptide,sgl_grp,clz_clz-cvg_def,0.950,1.000
riptide,sgl_grp,clz_ln-cvg_def,0.670,1.000
riptide,sgl_grp,n-tst_clz-cvg_def,0.000,0.005
riptide,sgl_grp,n-tst_ln-cvg_def,0.000,0.005
riptide,sgl_grp,n-tst_clz-sim_def,0.000,0.005
riptide,sgl_grp,n-tst_clz-diff_def,0.000,0.005
riptide,sgl_grp,n-tst_clz-ext_def,0.000,0.005
riptide,sgl_grp,n-tst_ln-ext_def,0.000,0.005
riptide,sgl_grp,01-tst_clz-cvg_def,0.000,0.005
riptide,sgl_grp,01-tst_ln-cvg_def,0.000,0.005
riptide,shuffled,def_ln-freq_def,0.128,0.002
riptide,shuffled,def_def_shuf,0.087,0.002
riptide,shuffled,clz_clz-cvg_def,0.183,0.065
riptide,shuffled,clz_ln-cvg_def,0.169,0.065
riptide,shuffled,n-tst_clz-cvg_def,0.012,0.065
riptide,shuffled,n-tst_ln-cvg_def,0.012,0.065
riptide,shuffled,n-tst_clz-sim_def,0.013,0.065
riptide,shuffled,n-tst_clz-diff_def,0.016,0.065
riptide,shuffled,n-tst_clz-ext_def,0.014,0.065
riptide,shuffled,n-tst_ln-ext_def,0.015,0.065
riptide,shuffled,01-tst_clz-cvg_def,0.038,0.065
riptide,shuffled,01-tst_ln-cvg_def,0.035,0.065
riptide,def_ln-freq_def,def_def_shuf,0.000,0.002
riptide,def_ln-freq_def,clz_clz-cvg_def,0.000,0.002
riptide,def_ln-freq_def,clz_ln-cvg_def,0.000,0.002
riptide,def_ln-freq_def,n-tst_clz-cvg_def,0.000,0.002
riptide,def_ln-freq_def,n-tst_ln-cvg_def,0.000,0.002
riptide,def_ln-freq_def,n-tst_clz-sim_def,0.000,0.002
riptide,def_ln-freq_def,n-tst_clz-diff_def,0.000,0.005
riptide,def_ln-freq_def,n-tst_clz-ext_def,0.000,0.002
riptide,def_ln-freq_def,n-tst_ln-ext_def,0.000,0.002
riptide,def_ln-freq_def,01-tst_clz-cvg_def,0.000,0.002
riptide,def_ln-freq_def,01-tst_ln-cvg_def,0.000,0.002
riptide,def_def_shuf,clz_clz-cvg_def,0.000,0.002
riptide,def_def_shuf,clz_ln-cvg_def,0.000,0.002
riptide,def_def_shuf,n-tst_clz-cvg_def,0.000,0.002
riptide,def_def_shuf,n-tst_ln-cvg_def,0.000,0.002
riptide,def_def_shuf,n-tst_clz-sim_def,0.000,0.002
riptide,def_def_shuf,n-tst_clz-diff_def,0.000,0.005
riptide,def_def_shuf,n-tst_clz-ext_def,0.000,0.002
riptide,def_def_shuf,n-tst_ln-ext_def,0.000,0.002
riptide,def_def_shuf,01-tst_clz-cvg_def,0.000,0.002
riptide,def_def_shuf,01-tst_ln-cvg_def,0.000,0.002
riptide,clz_clz-cvg_def,clz_ln-cvg_def,0.235,0.093
riptide,clz_clz-cvg_def,n-tst_clz-cvg_def,0.000,0.002
riptide,clz_clz-cvg_def,n-tst_ln-cvg_def,0.000,0.002
riptide,clz_clz-cvg_def,n-tst_clz-sim_def,0.000,0.002
riptide,clz_clz-cvg_def,n-tst_clz-diff_def,0.000,0.005
riptide,clz_clz-cvg_def,n-tst_clz-ext_def,0.000,0.002
riptide,clz_clz-cvg_def,n-tst_ln-ext_def,0.000,0.002
riptide,clz_clz-cvg_def,01-tst_clz-cvg_def,0.000,0.002
riptide,clz_clz-cvg_def,01-tst_ln-cvg_def,0.000,0.002
riptide,clz_ln-cvg_def,n-tst_clz-cvg_def,0.000,0.002
riptide,clz_ln-cvg_def,n-tst_ln-cvg_def,0.000,0.002
riptide,clz_ln-cvg_def,n-tst_clz-sim_def,0.000,0.002
riptide,clz_ln-cvg_def,n-tst_clz-diff_def,0.000,0.005
riptide,clz_ln-cvg_def,n-tst_clz-ext_def,0.000,0.002
riptide,clz_ln-cvg_def,n-tst_ln-ext_def,0.000,0.002
riptide,clz_ln-cvg_def,01-tst_clz-cvg_def,0.000,0.002
riptide,clz_ln-cvg_def,01-tst_ln-cvg_def,0.000,0.002
riptide,n-tst_clz-cvg_def,n-tst_ln-cvg_def,0.688,0.394
riptide,n-tst_clz-cvg_def,n-tst_clz-sim_def,0.154,0.180
riptide,n-tst_clz-cvg_def,n-tst_clz-diff_def,0.007,0.020
riptide,n-tst_clz-cvg_def,n-tst_clz-ext_def,0.064,0.026
riptide,n-tst_clz-cvg_def,n-tst_ln-ext_def,0.001,0.009
riptide,n-tst_clz-cvg_def,01-tst_clz-cvg_def,0.000,0.002
riptide,n-tst_clz-cvg_def,01-tst_ln-cvg_def,0.000,0.002
riptide,n-tst_ln-cvg_def,n-tst_clz-sim_def,0.075,0.132
riptide,n-tst_ln-cvg_def,n-tst_clz-diff_def,0.004,0.005
riptide,n-tst_ln-cvg_def,n-tst_clz-ext_def,0.039,0.026
riptide,n-tst_ln-cvg_def,n-tst_ln-ext_def,0.000,0.002
riptide,n-tst_ln-cvg_def,01-tst_clz-cvg_def,0.000,0.002
riptide,n-tst_ln-cvg_def,01-tst_ln-cvg_def,0.000,0.002
riptide,n-tst_clz-sim_def,n-tst_clz-diff_def,0.023,0.020
riptide,n-tst_clz-sim_def,n-tst_clz-ext_def,0.344,0.394
riptide,n-tst_clz-sim_def,n-tst_ln-ext_def,0.002,0.002
riptide,n-tst_clz-sim_def,01-tst_clz-cvg_def,0.000,0.002
riptide,n-tst_clz-sim_def,01-tst_ln-cvg_def,0.000,0.002
riptide,n-tst_clz-diff_def,n-tst_clz-ext_def,0.118,0.065
riptide,n-tst_clz-diff_def,n-tst_ln-ext_def,0.430,0.810
riptide,n-tst_clz-diff_def,01-tst_clz-cvg_def,0.000,0.005
riptide,n-tst_clz-diff_def,01-tst_ln-cvg_def,0.000,0.005
riptide,n-tst_clz-ext_def,n-tst_ln-ext_def,0.132,0.310
riptide,n-tst_clz-ext_def,01-tst_clz-cvg_def,0.000,0.002
riptide,n-tst_clz-ext_def,01-tst_ln-cvg_def,0.000,0.002
riptide,n-tst_ln-ext_def,01-tst_clz-cvg_def,0.000,0.002
riptide,n-tst_ln-ext_def,01-tst_ln-cvg_def,0.000,0.002
riptide,01-tst_clz-cvg_def,01-tst_ln-cvg_def,0.299,0.065
